heuristic_blobs, heuristic_seeds, exact_blobs, exact_seeds
0.0008163452,0.0004329681,3.058,4.255
0.0008149147,0.0004699230,2.979,4.013
0.0008533001,0.0003981590,3.303,4.378
0.0009574890,0.0003807545,3.355,3.932
0.0007932186,0.0003805161,3.063,3.926
0.0008075237,0.0003764629,2.928,3.911
0.0009772778,0.0004007816,2.949,3.863
0.0006883144,0.0004224777,2.922,3.924
0.0003306866,0.0003695488,2.960,3.895
0.0003437996,0.0003645420,2.998,3.843
0.0003280640,0.0004584789,3.040,3.900
0.0003273487,0.0004017353,2.913,3.817
0.0003280640,0.0003702641,2.996,3.958
0.0003271103,0.0003650188,2.975,3.896
0.0003280640,0.0003645420,2.888,3.862
0.0003590584,0.0003690720,2.980,3.938
0.0003321171,0.0004050732,2.914,3.870
0.0003318787,0.0003662109,2.930,3.903
0.0004010201,0.0003662109,2.928,3.842
0.0003843307,0.0003890991,2.974,3.902
0.0003619194,0.0003805161,3.002,3.944
0.0003480911,0.0005078316,2.908,3.842
0.0004000664,0.0004029274,2.943,3.905
0.0003578663,0.0003705025,2.962,3.938
0.0003514290,0.0003702641,2.890,3.953
0.0003449917,0.0004487038,2.980,3.948
0.0003275871,0.0004138947,2.976,3.918
0.0003638268,0.0003664494,2.953,3.884
0.0003340244,0.0003645420,2.925,3.864
0.0005791187,0.0003643036,3.001,3.882
0.0005314350,0.0003659725,2.977,3.904
0.0003688335,0.0003631115,2.927,3.896
0.0003290176,0.0003633499,3.004,4.017
0.0003297329,0.0004746914,2.971,4.017
0.0003278255,0.0003666878,2.904,3.926
0.0003502369,0.0003650188,2.908,3.920
0.0003283024,0.0004220009,2.955,3.957
0.0003283024,0.0003638268,2.959,3.862
0.0003902912,0.0003671646,2.909,3.977
0.0003273487,0.0003657341,2.956,3.999
0.0003533363,0.0003635883,3.069,3.846
0.0003366470,0.0003635883,2.956,4.001
0.0003275871,0.0004353523,2.930,3.916
0.0004010201,0.0003631115,2.934,3.996
0.0003876686,0.0003650188,2.947,3.941
0.0003476143,0.0004348755,3.005,3.901
0.0004169941,0.0004363060,3.038,3.962
0.0003840923,0.0003707409,2.887,4.282
0.0005004406,0.0004055500,3.018,4.324
0.0003468990,0.0003674030,2.936,3.939
0.0003383160,0.0004024506,2.955,3.873
0.0003380775,0.0003645420,2.904,3.894
0.0003387928,0.0003843307,2.931,3.823
0.0004677773,0.0003807545,2.956,3.892
0.0003399849,0.0003635883,2.922,3.865
0.0003376007,0.0004937649,2.933,3.964
0.0003802776,0.0003914833,2.929,3.943
0.0003368855,0.0003640652,2.933,3.824
0.0004172325,0.0003659725,2.982,3.868
0.0005011559,0.0003650188,2.916,3.935
0.0003685951,0.0003786087,2.960,3.868
0.0003480911,0.0004875660,2.907,3.949
0.0003280640,0.0004875660,2.967,3.872
0.0003824234,0.0003650188,2.917,3.890
0.0003428459,0.0003631115,2.960,3.801
0.0003268719,0.0004072189,3.003,3.888
0.0003266335,0.0003688335,2.931,3.914
0.0004918575,0.0003693104,2.848,3.867
0.0006492138,0.0003693104,2.909,3.857
0.0005779266,0.0003674030,3.019,3.925
0.0003328323,0.0003683567,2.951,3.847
0.0004458427,0.0003654957,2.983,3.871
0.0003616810,0.0003638268,3.018,3.906
0.0003340244,0.0003633499,2.940,3.836
0.0003316402,0.0003662109,2.939,3.997
0.0003299713,0.0004434586,3.007,3.837
0.0003297329,0.0004439354,2.955,3.843
0.0003936291,0.0003829002,2.857,3.860
0.0003278255,0.0003874302,2.953,3.912
0.0003273487,0.0003786087,2.884,3.881
0.0003275871,0.0003657341,2.959,3.892
0.0003280640,0.0003633499,3.071,3.878
0.0003306866,0.0004343987,2.957,3.880
0.0003263950,0.0003643036,2.853,3.916
0.0004312992,0.0004229546,2.998,3.923
0.0004413128,0.0003902912,2.963,3.931
0.0003418922,0.0003633499,2.925,3.873
0.0003829002,0.0003659725,2.965,3.852
0.0003423691,0.0003671646,2.888,3.843
0.0003376007,0.0003676414,2.988,3.868
0.0003349781,0.0004055500,3.030,3.888
0.0003285408,0.0003650188,2.963,3.930
0.0003337860,0.0003657341,2.931,3.923
0.0003337860,0.0003640652,2.970,3.888
0.0003902912,0.0004279613,2.955,3.944
0.0004446507,0.0003676414,3.034,3.916
0.0003390312,0.0004699230,2.937,3.875
0.0003414154,0.0003635883,2.961,3.916
0.0003955364,0.0005025864,2.921,3.927
0.0003325939,0.0003921986,2.942,3.968
